points,A_glotis,A_epiglotis,r_curvature,d_trachea,l_trachea,teta_branch_trachea,l_l,l_r,teta_branch_l,teta_branch_r,l_ll,l_lr,l_rl,l_rr,teta_branch_ll,teta_branch_lr,teta_branch_rl,teta_branch_rr,l_lll,l_llr,l_lrl,l_lrr,l_rll,l_rlr,l_rrl,l_rrr
snapshot1.bin,188.7771507,139.2693469,46.39568241,16.67357942,129.4626585,93.58786728,54.73962302,27.6258255,87.76278357,81.20368293,21.93498631,19.60085557,33.4590138,17.27135172,90.89560861,92.92842053,86.33187808,96.9675072,8.980873133,7.035886721,10.94750287,9.549317502,17.58898684,9.019300816,7.71882706,8.41900837
snapshot2.bin,213.6567004,126.664454,49.79001449,20.44607225,113.3216226,99.46557023,51.76484787,25.89475903,78.93028329,83.90221024,23.0863155,24.27785323,35.28342776,19.88339065,104.1851425,98.61655222,88.07412571,84.25274314,8.728019816,6.308559441,9.675663939,10.34066942,17.61553225,10.61842284,8.678028456,9.624824296
snapshot3.bin,129.1783598,189.4504849,53.21762941,17.19196211,108.8736995,85.61190896,56.00435382,25.64657275,74.70839335,89.49402608,22.14164003,20.01280291,35.5524631,15.31817445,84.84736262,99.7842723,89.11609268,86.67191831,7.744272457,8.582000417,9.470299086,7.177519146,16.76251226,10.7442125,9.935619865,9.226726813
snapshot4.bin,168.147779,163.8233788,52.45268275,19.06169482,121.1072214,87.37290194,55.2353104,27.90108394,72.04145152,92.11414384,22.08852106,19.42995248,33.17615044,17.91521395,100.2462809,87.37568428,81.85665097,99.67944065,8.155120072,7.207070508,7.875809266,9.208305879,17.10669571,8.738486009,7.559671742,9.523206948
snapshot5.bin,143.7825911,180.980263,51.53115551,18.92226351,115.0496002,80.56484098,56.92492345,25.99628358,72.92460897,92.72317365,21.92466655,23.52559468,38.38855761,15.1814563,82.19322701,89.06852839,84.94137486,102.5021299,7.308960164,7.591501781,9.826846677,10.87387701,18.75861477,9.481856302,8.879318572,8.586134736
snapshot6.bin,170.1221906,278.6928467,51.00832738,18.09133768,115.8361847,83.74812152,54.24091025,27.81941811,85.87186979,88.12180082,23.25978467,24.56377926,35.35667693,15.61585098,94.77475114,95.39087385,85.90382055,85.70868464,7.808356905,9.728533785,7.896224794,10.10561016,18.59533805,9.543732411,8.067896046,9.386710678
snapshot7.bin,90.03538943,297.6783203,48.86952914,17.27728573,125.3168124,90.26237386,56.67293576,26.71062282,85.68576394,84.01368113,24.45979268,22.21671941,35.14550132,18.19166055,103.3711636,100.7887361,86.64377627,102.9321596,9.35051712,6.759435014,8.524940442,7.957141526,17.18708237,9.582719992,9.916269233,8.147315798
snapshot8.bin,172.0840453,118.3432342,53.11581252,18.78559979,122.3504514,97.62857209,54.16796155,25.4489094,86.00043469,82.6282026,21.03340159,23.68487495,37.77861979,17.06902446,89.7105578,86.58494402,77.94056365,104.8349049,7.537000163,6.14902361,8.801096984,9.922447733,18.68984276,12.47473354,7.935736696,8.918814725
snapshot9.bin,108.2519888,94.8427183,47.0313692,18.45788104,107.0468149,95.33852874,53.76557804,27.96452458,73.8873186,76.59006857,24.64418228,22.1339576,37.58945586,19.4614456,95.23849112,95.78731325,82.26315501,93.14768136,10.95652745,7.60321106,10.52076745,7.678044616,18.54002826,9.081695864,8.620110943,7.756597249
snapshot10.bin,111.0828511,134.5830156,52.85083332,19.36238839,122.4733682,83.36946001,51.95116408,27.77869782,74.38011946,89.76437619,23.11257232,19.47146423,34.5755323,19.56665455,93.73228953,87.23027113,82.32301205,80.90805655,12.48522016,7.639098686,10.78655077,10.38633021,18.57114648,9.615493239,8.420779157,8.328999098
snapshot11.bin,124.4934967,244.3658168,48.30482559,20.61937506,119.5912427,81.22577026,52.39122395,27.56469617,80.82935679,79.40373512,24.30001495,24.34389667,35.00663183,16.04304163,98.89346923,82.48901928,88.4611743,87.05370365,11.92764326,8.35487967,8.750063289,8.3445482,17.49546318,11.84159267,8.268629248,7.089741963
snapshot12.bin,194.8167706,200.9927411,50.25060161,17.48185171,105.3417526,85.38112644,52.50480421,25.69795131,86.87951023,77.11673264,21.33925406,19.96126451,31.47554532,17.30888773,83.58605631,94.42469634,88.03712347,101.5612897,12.6629244,9.089554645,9.211705134,9.027014376,17.76023102,11.25222616,7.23102393,7.975228764
snapshot13.bin,159.7870457,303.9389841,48.47728503,19.42809332,127.1804287,81.42197784,55.07794954,27.71504423,83.00356416,79.0190022,21.84761706,19.8084631,37.38341873,16.58491054,82.88550075,98.79522224,81.04536701,102.7473131,7.489287467,8.390421361,7.695070754,9.453004977,17.78089074,10.29223409,7.716751574,8.30994177
snapshot14.bin,218.1305522,305.4094394,48.59844778,17.06724739,106.3209358,92.36295895,56.77306718,26.27443482,78.41066433,94.66351996,21.31159657,19.96697834,37.99393923,17.69654364,92.62717565,80.57942982,80.03731406,99.63129439,8.763479912,7.873594652,10.07441299,10.59162786,18.08265524,9.453573505,7.911985302,9.678031238
snapshot15.bin,99.6418839,144.9240933,49.14822245,16.9338613,107.0760398,82.32970606,54.86411695,24.81370177,70.26033331,84.32325906,21.84110876,19.05466906,38.98694807,16.02821818,80.38679294,89.02227047,80.20833684,94.19574804,9.540536812,8.79538088,7.825312389,9.672958054,17.05472543,10.02718777,9.029758132,9.299157396
snapshot16.bin,202.0809363,310.4506972,50.3238398,19.06741709,106.0428308,95.73541697,54.90182819,24.75321715,85.40143859,93.20056325,21.65164425,24.87034182,35.7452706,17.8525674,95.28810138,83.74354314,81.95799343,83.10720949,10.58293533,8.653288805,9.290524714,8.573697112,18.52609147,10.09328545,7.641333492,7.353505652
snapshot17.bin,127.2942058,321.2017568,51.48641421,19.24213672,124.7052789,88.94786615,54.58085046,26.67552943,72.38988055,83.08368979,22.57891466,23.87772378,36.17959164,19.73081863,84.67331441,90.85566839,75.4526816,102.0900416,12.79423554,8.422891516,10.98655611,8.977692369,18.93618045,8.840734229,9.584087737,7.984972698
snapshot18.bin,117.0482295,258.9777853,51.5703599,19.78684311,113.66742,99.44908502,54.5625434,25.85755681,72.13234324,89.44868452,21.10978366,19.94543185,36.98525588,16.13459338,95.40311929,87.62645735,83.98107204,90.94969746,7.65110195,8.514855843,9.432828799,8.231351682,17.01259834,12.23678259,7.736454519,9.583501846
snapshot19.bin,133.3402077,83.91708563,50.9964824,20.726519,119.8874766,97.35633288,51.25022444,26.25770236,73.39713996,89.79972524,24.78008305,23.44386876,38.72308674,19.03337927,86.28206898,101.9128871,79.60500748,104.9555992,11.73501621,8.238961804,9.33539082,8.875202784,18.28103539,10.78369533,9.075416172,7.333660166
snapshot20.bin,116.9144953,190.8879033,53.307245,17.0232493,120.7963132,91.0615529,56.28161576,25.22972723,83.48200108,81.9755064,24.42850097,20.53416096,37.60614902,17.41959379,98.38125004,103.0034431,79.21094027,97.73316601,12.5525909,7.85125068,9.320418333,10.53532005,16.63212546,8.76945144,9.261770683,9.101397307
snapshot21.bin,105.1797678,325.6941213,50.48500314,19.45437058,127.3945868,98.49288188,52.70266325,27.27887269,75.38146258,80.25165649,22.01807068,20.6750746,35.94668687,15.30169862,94.3118458,97.38545244,83.3926531,83.95511079,12.97846879,8.935477708,10.67566504,8.458707785,18.8701811,9.892873221,9.247313578,7.031620975
snapshot22.bin,125.8181417,259.7357374,48.07746257,20.41549561,122.1433573,96.01987646,54.88367301,25.36529358,71.70686197,83.8662517,22.85031882,19.61130833,38.37864637,16.15996701,87.93098479,91.53947804,79.41932446,101.8470259,10.13543825,6.269816261,7.110076372,9.880928429,18.52997449,12.39185279,8.5817533,9.082993816
snapshot23.bin,106.8603055,135.9874422,52.63400035,17.38902118,118.5077675,89.55288726,51.09050929,24.90099384,84.89452538,78.30123947,23.80487384,22.27256684,38.79718884,17.9363396,93.39229373,93.71339061,75.89770865,93.45608832,12.96329736,8.742510267,7.580602434,8.24619581,18.32280796,9.397105085,9.373631366,9.70543779
snapshot24.bin,128.5697543,165.4115082,49.09799575,19.1017989,108.2020133,84.66288151,53.59266572,24.67969792,72.95981219,76.38049685,21.45299628,22.2101773,32.04742873,15.84009433,90.71311438,85.03349882,76.1045088,88.09047746,10.46653856,7.490822545,9.098320325,10.96015095,18.78385285,11.50172439,8.259908404,7.641801669
snapshot25.bin,181.952104,263.5027395,48.81938864,20.57004788,115.4667047,98.27508645,53.35364755,25.96609641,88.11867835,75.9982511,24.47631416,19.86483753,37.8088771,16.12497244,100.9510397,100.3593436,87.08319714,94.01875237,12.93009882,7.518903172,10.67697625,8.506622318,18.19004309,9.465874325,8.626488411,9.000956375
snapshot26.bin,148.5826191,187.2039521,46.93440939,19.4343172,128.4700089,99.68218119,51.84841593,26.62456623,72.87133531,77.08340217,24.42085685,21.13626199,34.55237129,18.31043947,81.62644099,96.92994385,80.93816449,94.62188929,9.510302549,7.178915173,7.658459391,10.27930469,16.73809457,11.82165476,9.132601586,7.700449495
snapshot27.bin,122.0302378,115.239102,49.50615353,17.46045253,107.3456603,98.37160734,53.62807397,26.85433825,72.37634663,86.10435838,22.2086414,23.29620292,32.34160788,18.60900161,93.72413983,82.95032417,76.83273915,99.89690737,11.47091218,8.746967479,7.66285656,7.180909535,16.65310659,11.62369319,8.403590044,9.358757241
snapshot28.bin,219.7290728,282.4639627,49.95323886,18.17704893,110.1961297,98.84016631,54.28451351,27.27484064,86.70371171,83.41820614,22.39043727,22.43935209,35.8544251,18.36078775,85.96011113,80.16610606,88.09895649,97.88519093,8.067863527,9.633559562,9.47734519,10.51896892,17.80026864,8.755404527,9.709367137,7.000210277
snapshot29.bin,223.913028,189.882333,48.00078118,20.58441681,116.2392217,84.33402985,52.52414253,24.12254057,78.63186785,80.99964754,21.88141698,23.03525802,36.41430892,18.86295374,101.8890233,90.65278589,87.58737246,87.00947728,8.25889984,9.721248342,8.200964004,10.30369845,18.78905128,11.35602918,8.818760783,7.18704084
snapshot30.bin,216.396369,310.6220363,51.24787318,20.55733053,119.8166422,82.07188834,56.33478484,24.55424678,77.92233844,86.1484892,20.25787691,19.70648618,31.77800818,17.48171782,88.14469435,102.6467482,83.32537572,87.2022732,7.933579651,7.652718769,7.976418552,7.131094668,17.18981144,11.95089142,8.611681064,9.27095376
snapshot31.bin,175.2524576,127.9006682,51.46816499,16.64602914,114.6176648,98.39086843,52.64372572,27.0930744,76.06185002,85.58494705,20.13252189,21.83893729,34.33596943,15.57167021,80.10581535,86.87969173,76.54715142,88.17499525,9.984207279,7.418795904,8.985471973,8.424313343,16.59447555,8.512248171,9.227509196,9.684438158
snapshot32.bin,149.2537319,273.1808438,52.21035123,19.70646876,112.7290915,92.30332288,51.11541504,26.8030274,77.81951974,85.06683494,21.85794371,22.52263443,38.76912122,16.33233124,80.15300609,81.60717526,85.98435945,103.1329429,7.114945456,9.385690726,8.549935826,10.03393237,16.61862899,9.31734962,8.329165782,7.100485331
snapshot33.bin,205.3113466,276.7442889,51.45977692,19.63716011,125.7205136,96.81049551,56.58850499,27.31768765,71.34075532,83.80898784,22.07754269,21.01766028,38.52161644,17.20618137,97.28621803,93.94565528,75.39920694,103.1927287,12.80819873,9.03342151,10.69236385,8.946815361,16.99642765,10.22094682,8.740226516,8.720630501
snapshot34.bin,135.6759268,103.0516491,52.88799823,18.42382858,117.0314913,93.61814019,54.98914418,24.38478403,86.32319437,76.31224533,24.53592888,22.69433716,35.87435113,15.71498792,94.05715186,85.30858894,81.73479914,100.9709389,12.65023706,7.18527775,10.18917506,7.437276957,16.86808096,11.55064202,8.127086009,8.281433947
snapshot35.bin,95.42215453,156.5690893,52.9309867,18.59665374,112.2905303,94.47534265,55.12391175,24.60911347,72.29015477,94.96656613,20.37314499,22.1795492,32.09628631,19.91238662,84.20644638,84.21171763,85.9227047,85.9108846,7.017263459,7.081432374,9.135309037,9.696705383,17.60329735,10.15627086,9.15314457,9.975324511
snapshot36.bin,139.6008648,287.294909,52.61326163,19.33655092,109.9766183,88.0688672,53.00179619,25.78044124,74.12344752,93.32289632,24.52446579,20.02425503,31.96167898,18.11015112,93.87315735,83.33291835,77.71821713,90.5589558,11.20393094,8.429760907,8.703933311,9.257749353,17.165358,12.90964876,9.545850042,7.131505409
