snapshot,epiglotis_max,epiglotis_mean,glotis_max,glotis_mean,larynx_max,larynx_mean,mouth_region_max,mouth_region_mean,upper_trachea_bottom_max,upper_trachea_bottom_mean,upper_trachea_middle_max,upper_trachea_middle_mean,upper_trachea_top_max,upper_trachea_top_mean,gl_max,gl_mean,gr_max,gr_mean,glr_max,glr_mean,grr_max,grr_mean,global_max,global_mean
snapshot1,2.59,1.931,2.738,1.818,2.728,1.633,2.776,2.052,5.225,2.887,1.377,1.202,2.162,1.357,5.961,4.699,6.362,4.878,7.375,6.198,7.486,6.612,14.137,4.404
snapshot10,6.428,5.993,4.777,4.496,6.274,5.214,7.044,6.283,2.678,1.428,0.067,0.058,4.537,2.074,6.632,4.008,2.976,1.693,9.855,8.059,2.011,1.42,12.221,5.164
snapshot100,8.43,7.352,6.718,5.697,8.303,6.913,8.424,7.628,2.053,1.116,0.27,0.235,6.478,2.493,5.029,3.22,3.691,2.493,5.621,5.09,4.575,3.612,8.939,5.094
snapshot11,3.133,2.617,1.011,0.565,3.371,1.645,3.094,1.121,5.866,3.091,0.544,0.473,1.019,0.572,7.388,5.238,5.573,4.108,8.384,7.009,3.952,1.957,16.244,4.33
snapshot12,4.703,3.261,4.076,2.948,5.241,3.828,4.683,3.067,20.024,10.682,0.983,0.857,3.471,1.122,19.75,18.545,20.184,19.207,19.486,17.611,17.221,16.246,28.102,13.247
snapshot13,4.195,3.448,1.75,1.339,4.635,2.694,4.145,1.526,2.063,1.095,0.035,0.03,1.734,0.507,8.404,6.126,5.441,4.282,12.172,11.237,9.913,8.339,23.551,6.562
snapshot14,4.359,3.496,3.166,2.276,5.057,3.561,4.309,1.625,19.103,10.206,1.185,1.034,2.304,0.925,19.242,17.593,19.493,18.757,18.209,16.837,19.543,18.863,20.045,11.592
snapshot15,2.133,1.553,2.297,1.387,2.101,1.154,2.127,1.534,18.368,9.822,1.25,1.09,2.329,1.271,17.933,15.262,18.988,17.525,16.325,14.288,16.357,15.066,18.988,9.439
snapshot16,6.498,4.397,4.394,3.237,6.991,4.54,6.455,3.437,19.131,10.207,0.211,0.183,4.328,1.193,19.471,19.252,20.722,19.939,19.144,17.812,21.231,21.01,24.454,13.724
snapshot17,8.021,5.477,3.744,3.302,8.183,4.542,7.979,4.865,0.479,0.275,0.126,0.109,3.577,1.475,2.88,1.796,1.496,1.03,3.751,3.367,2.59,2.009,8.183,2.956
snapshot18,7.318,5.145,3.61,3.319,7.369,4.282,7.287,4.857,11.548,6.141,0.14,0.121,3.564,1.552,13.515,12.613,13.048,12.253,15.982,14.748,13.102,12.939,21.2,10.078
snapshot19,4.592,3.615,3.852,2.913,4.539,3.361,4.894,3.84,5.605,2.955,0.597,0.518,3.852,1.509,9.222,7.214,6.495,5.654,9.245,8.488,6.799,6.267,13.026,5.716
snapshot2,2.473,2.225,4.644,3.235,4.667,3.233,2.584,2.324,12.078,6.382,0.46,0.4,4.629,1.492,15.972,13.978,13.626,12.576,15.863,14.955,13.862,13.198,21.191,10.204
snapshot20,8.224,6.783,5.408,5.008,8.078,5.914,8.212,6.953,4.768,2.729,1.207,1.053,5.407,2.466,4.712,3.084,5.774,4.713,3.841,2.562,4.69,3.626,8.515,4.716
snapshot21,6.858,4.641,2.479,2.293,6.993,3.284,6.813,3.663,2.269,1.208,0.022,0.019,2.432,1.082,2.081,1.054,2.633,2.244,2.62,1.685,4.336,3.499,10.341,3.42
snapshot22,3.176,2.803,0.769,0.49,3.382,1.72,3.364,1.066,3.264,1.728,0.445,0.387,0.775,0.486,3.73,3.221,4.583,3.648,6.054,4.641,3.923,3.494,7.487,3.086
snapshot23,6.195,5.733,4.925,4.359,6.049,4.937,6.719,6.005,6.929,3.786,1.028,0.896,4.924,2.191,9.089,7.354,8.143,6.929,8.891,8.161,6.361,5.299,13.134,6.345
